country,abc.net.au,abcnews.go.com,adweek.com,alarabiya.net,alternet.org,bbc.co.uk,bdnews24.com,bloomberg.com,boingboing.net,breitbart.com,businessweek.com,cbc.ca,cbsnews.com,chicagotribune.com,chron.com,cnbc.com,"cnn.com,money.cnn.com,ireport.cnn.com",commondreams.org,dailycurrant.com,digitalspy.co.uk,dnaindia.com,drudgereport.com,dw.de,economist.com,eonline.com,espn.go.com,ew.com,examiner.com,forbes.com,foxnews.com,ft.com,gawker.com,good.is,guardianlv.com,hindustantimes.com,hollywoodreporter.com,huffingtonpost.com,indianexpress.com,ksl.com,latimes.com,mediabistro.com,msn.foxsports.com,nationalgeographic.com,nbcnews.com,ndtv.com,"news.com.au,heraldsun.com.au","news.sky.com,sky.com",newsmax.com,newyorker.com,npr.org,nypost.com,nytimes.com,online.wsj.com,pbs.org,rawstory.com,rd.com,rollingstone.com,rte.ie,salon.com,sfgate.com,smh.com.au,spiegel.de,sportsillustrated.cnn.com,theatlantic.com,theglobeandmail.com,theguardian.com,thehindu.com,theweek.com,time.com,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",tmz.com,townhall.com,tvguide.com,usatoday.com,usnews.com,variety.com,washingtonpost.com,wired.com,worldnetdaily.com
USA,319,3571,171,70,156,779,2,235,163,1656,222,978,1450,2159,1331,969,1561,419,9,385,601,809,78,115,671,2629,409,14280,1838,2137,189,126,116,1725,138,1048,1063,341,3118,2225,8,1221,67,324,615,898,167,2205,108,869,2287,4483,2384,30,808,13,293,387,507,7531,908,4,1402,255,1201,1712,436,212,1226,1002,351,157,213,2646,2125,644,565,98,699
URY,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,4,1,0,3,1,0,0,1,0,1,0,0,0,0
UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
VAT,1,14,0,0,0,4,1,0,0,7,0,1,6,1,1,0,4,0,0,0,3,2,4,0,0,0,0,18,1,18,0,1,0,7,1,1,3,3,1,10,0,0,0,0,5,2,2,10,0,4,1,3,6,0,7,0,0,3,1,18,11,0,0,0,4,8,2,0,5,8,0,0,0,2,8,0,1,0,7
VCT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEN,1,20,0,0,1,17,0,3,0,16,3,3,1,2,1,1,15,2,0,0,4,4,1,1,0,4,1,5,4,14,1,0,1,4,0,3,1,4,9,5,0,0,0,1,1,2,0,3,0,2,4,12,8,0,5,0,0,2,0,10,2,0,3,1,3,19,3,2,3,11,0,0,0,4,1,3,0,0,0
VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNM,7,3,1,0,1,2,0,0,0,2,0,1,0,0,0,1,8,0,0,0,2,1,3,0,1,0,0,17,6,2,1,0,0,1,1,0,2,0,1,1,0,0,0,0,1,5,0,0,0,3,1,9,10,1,1,0,1,0,0,3,5,0,0,1,5,3,4,2,1,2,0,0,0,2,0,1,0,0,1
VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WSM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEM,3,20,0,6,0,8,0,0,0,2,0,2,1,1,1,0,11,8,0,0,8,0,2,1,1,0,0,6,0,17,2,0,1,1,2,0,1,1,16,3,0,0,0,0,4,1,1,6,0,0,3,5,4,0,0,0,0,0,0,8,0,0,0,0,2,7,10,0,8,8,0,0,0,3,4,1,1,0,0
ZAF,34,36,0,1,0,59,0,0,0,2,0,5,7,12,0,3,13,2,0,3,36,1,12,3,3,12,5,26,10,26,7,0,4,39,8,8,3,13,18,22,0,1,0,1,30,66,5,0,2,9,12,20,19,0,8,0,0,18,1,18,92,0,2,2,15,63,15,0,12,37,1,0,0,10,14,3,0,1,0
ZMB,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
ZWE,0,2,0,0,0,5,0,0,1,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,1,5,0,0,0,0,2,1,3,0,0,0,0,0,1,2,0,0,0,0,1,0,11,0,0,0,0,1,4,3,1,1,2,0,0,0,1,1,0,0,1,0
